stname,cluster_id,utc_time,utc_timestamp,utc_time_s,utc_timestamp_s,time_diff
HSH ,1,2008-08-04T09:28:47.300000Z,1217842127.3,2008-08-04T09:28:54.500000Z,1217842134.5,7.200000047683716
HSH ,1,2008-08-04T09:34:55.700000Z,1217842495.7,2008-08-04T09:35:02.700000Z,1217842502.7,7.0
HSH ,1,2008-08-04T09:40:09.400000Z,1217842809.4,2008-08-04T09:40:16.600000Z,1217842816.6,7.199999809265137
HSH ,1,2008-08-04T09:59:31.100000Z,1217843971.1,2008-08-04T09:59:41.900000Z,1217843981.9,10.800000190734863
HSH ,1,2008-08-04T10:02:14.200000Z,1217844134.2,2008-08-04T10:02:24.800000Z,1217844144.8,10.599999904632568
HSH ,1,2008-08-04T10:52:04.000000Z,1217847124.0,2008-08-04T10:52:14.600000Z,1217847134.6,10.599999904632568
HSH ,1,2008-08-04T11:13:04.100000Z,1217848384.1,2008-08-04T11:13:15.000000Z,1217848395.0,10.900000095367432
HSH ,1,2008-08-04T12:12:37.200000Z,1217851957.2,2008-08-04T12:12:52.900000Z,1217851972.9,15.700000047683716
HSH ,1,2008-08-04T13:11:46.000000Z,1217855506.0,2008-08-04T13:11:58.800000Z,1217855518.8,12.799999952316284
HSH ,1,2008-08-04T13:31:13.200000Z,1217856673.2,2008-08-04T13:31:25.700000Z,1217856685.7,12.5
HSH ,1,2008-08-04T14:02:16.100000Z,1217858536.1,2008-08-04T14:02:26.600000Z,1217858546.6,10.5
HSH ,1,2008-08-04T14:15:05.800000Z,1217859305.8,2008-08-04T14:15:23.700000Z,1217859323.7,17.90000009536743
HSH ,1,2008-08-04T15:44:25.100000Z,1217864665.1,2008-08-04T15:44:37.800000Z,1217864677.8,12.700000047683716
HSH ,1,2008-08-04T16:28:20.100000Z,1217867300.1,2008-08-04T16:28:33.900000Z,1217867313.9,13.800000190734863
HSH ,1,2008-08-04T18:16:07.700000Z,1217873767.7,2008-08-04T18:16:20.300000Z,1217873780.3,12.599999904632568
HSH ,1,2008-08-04T18:36:18.400000Z,1217874978.4,2008-08-04T18:36:33.700000Z,1217874993.7,15.299999952316284
HSH ,1,2008-08-04T19:28:45.800000Z,1217878125.8,2008-08-04T19:29:00.600000Z,1217878140.6,14.799999952316284
HSH ,1,2008-08-04T20:04:00.000000Z,1217880240.0,2008-08-04T20:04:09.500000Z,1217880249.5,9.5
HSH ,1,2008-08-04T20:28:25.500000Z,1217881705.5,2008-08-04T20:28:38.100000Z,1217881718.1,12.599999904632568
HSH ,1,2008-08-04T21:04:37.900000Z,1217883877.9,2008-08-04T21:04:44.400000Z,1217883884.4,6.5
HSH ,1,2008-08-04T21:13:34.900000Z,1217884414.9,2008-08-04T21:13:44.600000Z,1217884424.6,9.699999809265137
